Feature,RF_Importance,F_Score
"('mfcc', 'max.3')",0.009495364414299157,12638.725345863972
"('mfcc', 'median')",0.00843549984844275,8121.401673448964
"('rmse', 'median')",0.0076650183350087395,5431.420764106624
"('mfcc', 'mean')",0.007464579781419576,8023.169248890376
"('mfcc', 'max.2')",0.007462826622510943,5872.188497741626
"('mfcc', 'mean.6')",0.007208819769697798,6942.356561686976
"('mfcc', 'mean.3')",0.006887994381744443,11484.931381164457
"('mfcc', 'mean.7')",0.006859350849555006,9607.82990465346
"('mfcc', 'median.6')",0.006556644527194294,7004.923957922978
"('rmse', 'mean')",0.006463921441304502,5779.738578990688
"('mfcc', 'max.5')",0.006045288937132296,8297.857082083532
"('spectral_centroid', 'max')",0.005983339414834393,2042.803678264052
"('mfcc', 'median.3')",0.005929308258741098,11027.182738632531
"('mfcc', 'median.2')",0.005919740927988143,4494.619896726597
"('mfcc', 'mean.2')",0.005793374051068002,4716.742167681004
"('spectral_contrast', 'mean.2')",0.005667824433416768,6665.525805499838
"('spectral_contrast', 'median.2')",0.0056588677620402865,6808.4821393820575
"('rmse', 'std')",0.005579680202421604,5369.969148170341
"('spectral_contrast', 'mean.3')",0.005475292924018158,6151.857455992259
"('spectral_rolloff', 'median')",0.0053606254894984825,3513.959938223979
"('mfcc', 'max')",0.0053404318505647416,8893.597874254307
"('mfcc', 'max.6')",0.005234602712970414,6189.629920186241
"('spectral_rolloff', 'max')",0.005127599342208083,1278.5041321146755
"('spectral_contrast', 'median.3')",0.004908191248861899,6278.761176200426
"('spectral_centroid', 'median')",0.004850058687041821,2898.603424249858
"('mfcc', 'mean.8')",0.004652091812599173,5384.120234498419
"('spectral_bandwidth', 'max')",0.0046198462538469,1793.0805099530555
"('mfcc', 'median.7')",0.004529503704142215,9691.875631839273
"('mfcc', 'std.5')",0.004525602823482729,3156.1346840133283
"('chroma_cqt', 'max.5')",0.0044963221917255596,8550.86698183707
"('zcr', 'max')",0.004436630360345933,2855.401167416081
"('mfcc', 'std.4')",0.0044126271559181696,4216.932997549003
"('spectral_bandwidth', 'median')",0.004403332503944779,4476.074697633208
"('zcr', 'median')",0.004393443478640682,1293.0609839725664
"('tonnetz', 'std.4')",0.004352347273833233,5617.448533374455
"('chroma_cqt', 'max.6')",0.004343389716054415,11099.851603531251
"('chroma_cqt', 'max.7')",0.004253506742020123,6784.936708242152
"('spectral_contrast', 'std')",0.004247009785099024,772.906619707613
"('mfcc', 'std.1')",0.004220788172672876,3637.8269094006346
"('spectral_contrast', 'median.1')",0.0042161101856209166,4468.266263795434
